title,link,summary
Halo: Campaign Evolved is a gorgeous remake that debuts on PS5 and Xbox in 2026,https://www.theverge.com/news/805174/halo-campaign-evolved-remake-xbox-ps5-release-date,
Nike says its first ‘powered footwear’ is like an e-bike for your feet,https://www.theverge.com/news/805664/nike-powered-show-project-amplify,
"GM will ditch Apple CarPlay and Android Auto on all its cars, not just EVs",https://www.theverge.com/transportation/804562/gm-apple-carplay-android-auto-gas-cars-mary-barra,
Microsoft Outlook is getting an AI overhaul under new leaders,https://www.theverge.com/tech/806162/microsoft-outlook-ai-overhaul-notepad,
HBO’s Welcome to Derry series just ain’t it,https://www.theverge.com/entertainment/803022/hbo-it-welcome-to-derry-review,
I tested a bunch of gaming laptops and these are the best,https://www.theverge.com/22295181/best-gaming-laptop,
DJI’s excellent Osmo Pocket 3 is over $200 off in its first sale since tariffs,https://www.theverge.com/tech/806400/dji-osmo-pocket-3-creator-combo-deal-sale-price-after-tariffs,
after the WordPress fight began,https://www.theverge.com/2024/10/3/24261016/wordpress-wp-engine-lawsuit-automattic-matt-mullenweg,
Why Matt Mullenweg went to war over WordPress,https://www.theverge.com/decoder-podcast-with-nilay-patel/693052/automattic-ceo-matt-mullenweg-wordpress-drama-wp-engine-open-source,
My face is my key with ADT’s Google Home-focused security system,https://www.theverge.com/tech/803867/adt-plus-home-security-google-nest-smart-home,
Nintendo’s chips let this Lego Game Boy upgrade kit play real cartridges,https://www.theverge.com/games/805673/nintendos-chips-make-this-lego-game-boy-upgrade-kit-the-most-authentic,
Rivian’s first e-bike is unlike anything you’ve ever seen,https://www.theverge.com/news/804157/rivian-tm-b-electric-bike-price-specs-helmet-quad,
The Espresso Pro portable monitor is a revolution for remote work,https://www.theverge.com/reviews/805112/the-espresso-pro-portable-monitor-is-a-revolution-for-remote-work,
The BrickBoy kit turns Lego’s Game Boy into a handheld emulator,https://www.theverge.com/news/805376/lego-game-boy-brickboy-emulator-kickstarter,
Nike is trying to sell you ‘mind-body’ shoes,https://www.theverge.com/news/806259/nike-mind-neuroscience-footwear-foam-nodes,
See our ethics statement.,https://www.theverge.com/ethics-statement,
Eufy’s X10 Pro Omni robovac is matching its Prime Day low for a limited time,https://www.theverge.com/tech/806364/eufy-x10-pro-omni-robot-vacuum-mop-amazon-deal-sale,
"Neato’s cloud is shutting down, leaving its robovacs stuck in manual mode",https://www.theverge.com/news/806246/neato-robovac-cloud-shutdown,
IBM says key quantum computing algorithm can run on conventional AMD chips,https://www.reuters.com/business/ibm-says-key-quantum-computing-algorithm-can-run-conventional-amd-chips-2025-10-24/,
Epomaker’s surprisingly great P75 keyboard is on sale for just $79.99,https://www.theverge.com/tech/806167/epomaker-p75-mechanical-keyboard-blink-mini-2-deal-sale,
Netflix shuts down its Squid Game mobile studio,https://www.theverge.com/news/806303/netflix-squid-game-unleashed-boss-fight-entertainment-studio-shut-down,
Halo: Campaign Evolved is a gorgeous remake that debuts on PS5 and Xbox in 2026,https://www.theverge.com/news/805174/halo-campaign-evolved-remake-xbox-ps5-release-date,
Kirby Air Riders’ impressive accessibility features are a rarity for Nintendo,https://www.theverge.com/games/806242/kirby-air-riders-accessibility-features-nintendo-switch-2,
Dispatch offers a rare unique twist on superhero stories,https://www.theverge.com/games/805679/dispatch-review-steam-ps5,
Nike is trying to sell you ‘mind-body’ shoes,https://www.theverge.com/news/806259/nike-mind-neuroscience-footwear-foam-nodes,
March of the frogs,https://www.theverge.com/policy/802315/portland-no-kings-october-ice-protests-frog-antifa,
Nike’s inflatable puffer jacket de-puffs to cool you down,https://www.theverge.com/news/806188/nike-therma-fit-air-milano-jacket-inflatable-puffer,
September 16th fire at aluminum supplier Novelis’ plant,https://www.reuters.com/business/autos-transportation/ford-lowers-annual-guidance-citing-fire-suppliers-aluminum-plant-2025-10-23/,
